[05.11.2024, 00:57:44:218 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.PARTIAL_STATE_SAVING' found, using default value 'true (false with 1.2 webapps)'.
[05.11.2024, 00:57:44:218 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.SERIALIZE_SERVER_STATE' found, using default value 'false'.
[05.11.2024, 00:57:44:218 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.DEFAULT_SUFFIX' found, using default value '.xhtml'.
[05.11.2024, 00:57:44:218 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.FACELETS_SUFFIX' found, using default value '.xhtml'.
[05.11.2024, 00:57:44:218 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.FACELETS_VIEW_MAPPINGS' found.
[05.11.2024, 00:57:44:218 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.FACELETS_BUFFER_SIZE' found, using default value '1024'.
[05.11.2024, 00:57:44:218 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.FACELETS_DECORATORS' found.
[05.11.2024, 00:57:44:218 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.FACELETS_LIBRARIES' found.
[05.11.2024, 00:57:44:218 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.FACELETS_REFRESH_PERIOD' found, using default value '-1'.
[05.11.2024, 00:57:44:218 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.VALIDATE_EMPTY_FIELDS' found, using default value 'auto'.
[05.11.2024, 00:57:44:219 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.INTERPRET_EMPTY_STRING_SUBMITTED_VALUES_AS_NULL' found, using default value 'false'.
[05.11.2024, 00:57:44:219 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.CLEAR_INPUT_WHEN_SUBMITTED_VALUE_IS_NULL_OR_EMPTY' found, using default value 'true'.
[05.11.2024, 00:57:44:219 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.ALWAYS_PERFORM_VALIDATION_WHEN_REQUIRED_IS_TRUE' found, using default value 'false'.
[05.11.2024, 00:57:44:219 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.VIEWROOT_PHASE_LISTENER_QUEUES_EXCEPTIONS' found, using default value 'false'.
[05.11.2024, 00:57:44:219 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.DATETIMECONVERTER_DEFAULT_TIMEZONE_IS_SYSTEM_TIMEZONE' found, using default value 'false'.
[05.11.2024, 00:57:44:219 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.ENUM_CONVERTER_ALLOW_STRING_PASSTROUGH' found, using default value 'false'.
[05.11.2024, 00:57:44:219 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.CLIENT_WINDOW_MODE' found, using default value 'none'.
[05.11.2024, 00:57:44:219 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.NUMBER_OF_CLIENT_WINDOWS' found, using default value '10'.
[05.11.2024, 00:57:44:220 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.validator.DISABLE_DEFAULT_BEAN_VALIDATOR' found, using default value 'true'.
